dataset,model,detector,treatment,run,fold,score
pol,mlp_deep,ZScore,clip,0,0,0.9767801857585139
pol,mlp_deep,ZScore,clip,0,1,0.9705882352941176
pol,mlp_deep,ZScore,clip,0,2,0.9658914728682171
pol,mlp_deep,ZScore,clip,0,3,0.9720930232558139
pol,mlp_deep,ZScore,clip,0,4,0.986046511627907
pol,mlp_deep,ZScore,clip,0,5,0.9751937984496124
pol,mlp_deep,ZScore,clip,0,6,0.9798449612403101
pol,mlp_deep,ZScore,clip,0,7,0.9829457364341085
pol,mlp_deep,ZScore,clip,0,8,0.9736434108527132
pol,mlp_deep,ZScore,clip,0,9,0.9767441860465116
pol,mlp_deep,ZScore,clip,1,0,0.978328173374613
pol,mlp_deep,ZScore,clip,1,1,0.9829721362229102
pol,mlp_deep,ZScore,clip,1,2,0.9736434108527132
pol,mlp_deep,ZScore,clip,1,3,0.9751937984496124
pol,mlp_deep,ZScore,clip,1,4,0.9736434108527132
pol,mlp_deep,ZScore,clip,1,5,0.9767441860465116
pol,mlp_deep,ZScore,clip,1,6,0.9782945736434109
pol,mlp_deep,ZScore,clip,1,7,0.9736434108527132
pol,mlp_deep,ZScore,clip,1,8,0.9813953488372092
pol,mlp_deep,ZScore,clip,1,9,0.9767441860465116
pol,mlp_deep,ZScore,clip,2,0,0.978328173374613
pol,mlp_deep,ZScore,clip,2,1,0.9752321981424149
pol,mlp_deep,ZScore,clip,2,2,0.986046511627907
pol,mlp_deep,ZScore,clip,2,3,0.9844961240310077
pol,mlp_deep,ZScore,clip,2,4,0.9658914728682171
pol,mlp_deep,ZScore,clip,2,5,0.9767441860465116
pol,mlp_deep,ZScore,clip,2,6,0.9689922480620154
pol,mlp_deep,ZScore,clip,2,7,0.9751937984496124
pol,mlp_deep,ZScore,clip,2,8,0.9813953488372092
pol,mlp_deep,ZScore,clip,2,9,0.9751937984496124
