dataset,model,detector,treatment,run,fold,score
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,0,0,0.8203125
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,0,1,0.8109375
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,0,2,0.8078125
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,0,3,0.8109375
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,0,4,0.8078125
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,0,5,0.8015625
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,0,6,0.8
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,0,7,0.8171875
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,0,8,0.809375
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,0,9,0.8359375
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,1,0,0.8015625
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,1,1,0.796875
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,1,2,0.8109375
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,1,3,0.8234375
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,1,4,0.846875
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,1,5,0.7953125
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,1,6,0.8359375
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,1,7,0.740625
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,1,8,0.790625
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,1,9,0.8125
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,2,0,0.8125
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,2,1,0.815625
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,2,2,0.79375
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,2,3,0.834375
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,2,4,0.7859375
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,2,5,0.8078125
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,2,6,0.8140625
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,2,7,0.8046875
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,2,8,0.7828125
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,remove,2,9,0.8
