dataset,model,detector,treatment,run,fold,score
vehicle,mlp_deep,IsolationForest,remove,0,0,0.6296296296296297
vehicle,mlp_deep,IsolationForest,remove,0,1,0.7592592592592593
vehicle,mlp_deep,IsolationForest,remove,0,2,0.6666666666666666
vehicle,mlp_deep,IsolationForest,remove,0,3,0.6111111111111112
vehicle,mlp_deep,IsolationForest,remove,0,4,0.6851851851851852
vehicle,mlp_deep,IsolationForest,remove,0,5,0.6851851851851852
vehicle,mlp_deep,IsolationForest,remove,0,6,0.6296296296296297
vehicle,mlp_deep,IsolationForest,remove,0,7,0.7037037037037037
vehicle,mlp_deep,IsolationForest,remove,0,8,0.6666666666666666
vehicle,mlp_deep,IsolationForest,remove,0,9,0.6481481481481481
vehicle,mlp_deep,IsolationForest,remove,1,0,0.7962962962962963
vehicle,mlp_deep,IsolationForest,remove,1,1,0.7037037037037037
vehicle,mlp_deep,IsolationForest,remove,1,2,0.7222222222222222
vehicle,mlp_deep,IsolationForest,remove,1,3,0.7407407407407407
vehicle,mlp_deep,IsolationForest,remove,1,4,0.7592592592592593
vehicle,mlp_deep,IsolationForest,remove,1,5,0.7407407407407407
vehicle,mlp_deep,IsolationForest,remove,1,6,0.6481481481481481
vehicle,mlp_deep,IsolationForest,remove,1,7,0.7407407407407407
vehicle,mlp_deep,IsolationForest,remove,1,8,0.5925925925925926
vehicle,mlp_deep,IsolationForest,remove,1,9,0.7407407407407407
vehicle,mlp_deep,IsolationForest,remove,2,0,0.7962962962962963
vehicle,mlp_deep,IsolationForest,remove,2,1,0.5925925925925926
vehicle,mlp_deep,IsolationForest,remove,2,2,0.7222222222222222
vehicle,mlp_deep,IsolationForest,remove,2,3,0.7592592592592593
vehicle,mlp_deep,IsolationForest,remove,2,4,0.5740740740740741
vehicle,mlp_deep,IsolationForest,remove,2,5,0.6481481481481481
vehicle,mlp_deep,IsolationForest,remove,2,6,0.8333333333333334
vehicle,mlp_deep,IsolationForest,remove,2,7,0.5740740740740741
vehicle,mlp_deep,IsolationForest,remove,2,8,0.7777777777777778
vehicle,mlp_deep,IsolationForest,remove,2,9,0.6851851851851852
