dataset,model,detector,treatment,run,fold,score
eucalyptus,mlp,Percentile,remove,0,0,0.5106382978723404
eucalyptus,mlp,Percentile,remove,0,1,0.48936170212765956
eucalyptus,mlp,Percentile,remove,0,2,0.5319148936170213
eucalyptus,mlp,Percentile,remove,0,3,0.48936170212765956
eucalyptus,mlp,Percentile,remove,0,4,0.5106382978723404
eucalyptus,mlp,Percentile,remove,0,5,0.3404255319148936
eucalyptus,mlp,Percentile,remove,0,6,0.40425531914893614
eucalyptus,mlp,Percentile,remove,0,7,0.48936170212765956
eucalyptus,mlp,Percentile,remove,0,8,0.574468085106383
eucalyptus,mlp,Percentile,remove,0,9,0.425531914893617
eucalyptus,mlp,Percentile,remove,1,0,0.44680851063829785
eucalyptus,mlp,Percentile,remove,1,1,0.44680851063829785
eucalyptus,mlp,Percentile,remove,1,2,0.40425531914893614
eucalyptus,mlp,Percentile,remove,1,3,0.5319148936170213
eucalyptus,mlp,Percentile,remove,1,4,0.5319148936170213
eucalyptus,mlp,Percentile,remove,1,5,0.6170212765957447
eucalyptus,mlp,Percentile,remove,1,6,0.574468085106383
eucalyptus,mlp,Percentile,remove,1,7,0.3617021276595745
eucalyptus,mlp,Percentile,remove,1,8,0.5319148936170213
eucalyptus,mlp,Percentile,remove,1,9,0.5106382978723404
eucalyptus,mlp,Percentile,remove,2,0,0.46808510638297873
eucalyptus,mlp,Percentile,remove,2,1,0.5319148936170213
eucalyptus,mlp,Percentile,remove,2,2,0.425531914893617
eucalyptus,mlp,Percentile,remove,2,3,0.5106382978723404
eucalyptus,mlp,Percentile,remove,2,4,0.44680851063829785
eucalyptus,mlp,Percentile,remove,2,5,0.5106382978723404
eucalyptus,mlp,Percentile,remove,2,6,0.44680851063829785
eucalyptus,mlp,Percentile,remove,2,7,0.574468085106383
eucalyptus,mlp,Percentile,remove,2,8,0.5319148936170213
eucalyptus,mlp,Percentile,remove,2,9,0.425531914893617
