dataset,model,detector,treatment,run,fold,score
cmc,randomforest,Percentile,clip,0,0,0.49473684210526314
cmc,randomforest,Percentile,clip,0,1,0.5157894736842106
cmc,randomforest,Percentile,clip,0,2,0.4787234042553192
cmc,randomforest,Percentile,clip,0,3,0.4574468085106383
cmc,randomforest,Percentile,clip,0,4,0.5
cmc,randomforest,Percentile,clip,0,5,0.574468085106383
cmc,randomforest,Percentile,clip,0,6,0.5319148936170213
cmc,randomforest,Percentile,clip,0,7,0.48936170212765956
cmc,randomforest,Percentile,clip,0,8,0.5425531914893617
cmc,randomforest,Percentile,clip,0,9,0.5851063829787234
cmc,randomforest,Percentile,clip,1,0,0.5052631578947369
cmc,randomforest,Percentile,clip,1,1,0.5473684210526316
cmc,randomforest,Percentile,clip,1,2,0.5957446808510638
cmc,randomforest,Percentile,clip,1,3,0.5106382978723404
cmc,randomforest,Percentile,clip,1,4,0.5425531914893617
cmc,randomforest,Percentile,clip,1,5,0.5425531914893617
cmc,randomforest,Percentile,clip,1,6,0.4787234042553192
cmc,randomforest,Percentile,clip,1,7,0.5851063829787234
cmc,randomforest,Percentile,clip,1,8,0.5212765957446809
cmc,randomforest,Percentile,clip,1,9,0.4148936170212766
cmc,randomforest,Percentile,clip,2,0,0.5157894736842106
cmc,randomforest,Percentile,clip,2,1,0.5578947368421052
cmc,randomforest,Percentile,clip,2,2,0.5212765957446809
cmc,randomforest,Percentile,clip,2,3,0.4787234042553192
cmc,randomforest,Percentile,clip,2,4,0.43617021276595747
cmc,randomforest,Percentile,clip,2,5,0.5212765957446809
cmc,randomforest,Percentile,clip,2,6,0.5531914893617021
cmc,randomforest,Percentile,clip,2,7,0.4574468085106383
cmc,randomforest,Percentile,clip,2,8,0.48936170212765956
cmc,randomforest,Percentile,clip,2,9,0.48936170212765956
