dataset,model,detector,treatment,run,fold,score
cmc,mlp_deep,Percentile,remove,0,0,0.5473684210526316
cmc,mlp_deep,Percentile,remove,0,1,0.4842105263157895
cmc,mlp_deep,Percentile,remove,0,2,0.5638297872340425
cmc,mlp_deep,Percentile,remove,0,3,0.5319148936170213
cmc,mlp_deep,Percentile,remove,0,4,0.5638297872340425
cmc,mlp_deep,Percentile,remove,0,5,0.6170212765957447
cmc,mlp_deep,Percentile,remove,0,6,0.5319148936170213
cmc,mlp_deep,Percentile,remove,0,7,0.5638297872340425
cmc,mlp_deep,Percentile,remove,0,8,0.5212765957446809
cmc,mlp_deep,Percentile,remove,0,9,0.6276595744680851
cmc,mlp_deep,Percentile,remove,1,0,0.5473684210526316
cmc,mlp_deep,Percentile,remove,1,1,0.631578947368421
cmc,mlp_deep,Percentile,remove,1,2,0.574468085106383
cmc,mlp_deep,Percentile,remove,1,3,0.5851063829787234
cmc,mlp_deep,Percentile,remove,1,4,0.5212765957446809
cmc,mlp_deep,Percentile,remove,1,5,0.5638297872340425
cmc,mlp_deep,Percentile,remove,1,6,0.48936170212765956
cmc,mlp_deep,Percentile,remove,1,7,0.6276595744680851
cmc,mlp_deep,Percentile,remove,1,8,0.5531914893617021
cmc,mlp_deep,Percentile,remove,1,9,0.425531914893617
cmc,mlp_deep,Percentile,remove,2,0,0.5368421052631579
cmc,mlp_deep,Percentile,remove,2,1,0.631578947368421
cmc,mlp_deep,Percentile,remove,2,2,0.5851063829787234
cmc,mlp_deep,Percentile,remove,2,3,0.5531914893617021
cmc,mlp_deep,Percentile,remove,2,4,0.4148936170212766
cmc,mlp_deep,Percentile,remove,2,5,0.5531914893617021
cmc,mlp_deep,Percentile,remove,2,6,0.5
cmc,mlp_deep,Percentile,remove,2,7,0.5531914893617021
cmc,mlp_deep,Percentile,remove,2,8,0.5319148936170213
cmc,mlp_deep,Percentile,remove,2,9,0.5957446808510638
