dataset,model,detector,treatment,run,fold,score
kc1,mlp_deep,Autoencoder,remove,0,0,0.8666666666666667
kc1,mlp_deep,Autoencoder,remove,0,1,0.8518518518518519
kc1,mlp_deep,Autoencoder,remove,0,2,0.8888888888888888
kc1,mlp_deep,Autoencoder,remove,0,3,0.8518518518518519
kc1,mlp_deep,Autoencoder,remove,0,4,0.8148148148148148
kc1,mlp_deep,Autoencoder,remove,0,5,0.837037037037037
kc1,mlp_deep,Autoencoder,remove,0,6,0.9111111111111111
kc1,mlp_deep,Autoencoder,remove,0,7,0.837037037037037
kc1,mlp_deep,Autoencoder,remove,0,8,0.837037037037037
kc1,mlp_deep,Autoencoder,remove,0,9,0.8432835820895522
kc1,mlp_deep,Autoencoder,remove,1,0,0.7851851851851852
kc1,mlp_deep,Autoencoder,remove,1,1,0.8518518518518519
kc1,mlp_deep,Autoencoder,remove,1,2,0.8740740740740741
kc1,mlp_deep,Autoencoder,remove,1,3,0.8740740740740741
kc1,mlp_deep,Autoencoder,remove,1,4,0.8666666666666667
kc1,mlp_deep,Autoencoder,remove,1,5,0.8444444444444444
kc1,mlp_deep,Autoencoder,remove,1,6,0.8666666666666667
kc1,mlp_deep,Autoencoder,remove,1,7,0.8296296296296296
kc1,mlp_deep,Autoencoder,remove,1,8,0.8962962962962963
kc1,mlp_deep,Autoencoder,remove,1,9,0.8582089552238806
kc1,mlp_deep,Autoencoder,remove,2,0,0.8740740740740741
kc1,mlp_deep,Autoencoder,remove,2,1,0.837037037037037
kc1,mlp_deep,Autoencoder,remove,2,2,0.9111111111111111
kc1,mlp_deep,Autoencoder,remove,2,3,0.8518518518518519
kc1,mlp_deep,Autoencoder,remove,2,4,0.8814814814814815
kc1,mlp_deep,Autoencoder,remove,2,5,0.8888888888888888
kc1,mlp_deep,Autoencoder,remove,2,6,0.7777777777777778
kc1,mlp_deep,Autoencoder,remove,2,7,0.8814814814814815
kc1,mlp_deep,Autoencoder,remove,2,8,0.8074074074074075
kc1,mlp_deep,Autoencoder,remove,2,9,0.8059701492537313
