dataset,model,detector,treatment,run,fold,score
credit-g,xgboost,Percentile,remove,0,0,0.59375
credit-g,xgboost,Percentile,remove,0,1,0.6875
credit-g,xgboost,Percentile,remove,0,2,0.6875
credit-g,xgboost,Percentile,remove,0,3,0.59375
credit-g,xgboost,Percentile,remove,0,4,0.75
credit-g,xgboost,Percentile,remove,0,5,0.734375
credit-g,xgboost,Percentile,remove,0,6,0.765625
credit-g,xgboost,Percentile,remove,0,7,0.765625
credit-g,xgboost,Percentile,remove,0,8,0.625
credit-g,xgboost,Percentile,remove,0,9,0.640625
credit-g,xgboost,Percentile,remove,1,0,0.703125
credit-g,xgboost,Percentile,remove,1,1,0.6875
credit-g,xgboost,Percentile,remove,1,2,0.71875
credit-g,xgboost,Percentile,remove,1,3,0.71875
credit-g,xgboost,Percentile,remove,1,4,0.703125
credit-g,xgboost,Percentile,remove,1,5,0.734375
credit-g,xgboost,Percentile,remove,1,6,0.734375
credit-g,xgboost,Percentile,remove,1,7,0.765625
credit-g,xgboost,Percentile,remove,1,8,0.53125
credit-g,xgboost,Percentile,remove,1,9,0.53125
credit-g,xgboost,Percentile,remove,2,0,0.734375
credit-g,xgboost,Percentile,remove,2,1,0.71875
credit-g,xgboost,Percentile,remove,2,2,0.5625
credit-g,xgboost,Percentile,remove,2,3,0.640625
credit-g,xgboost,Percentile,remove,2,4,0.734375
credit-g,xgboost,Percentile,remove,2,5,0.671875
credit-g,xgboost,Percentile,remove,2,6,0.765625
credit-g,xgboost,Percentile,remove,2,7,0.625
credit-g,xgboost,Percentile,remove,2,8,0.796875
credit-g,xgboost,Percentile,remove,2,9,0.640625
