dataset,model,detector,treatment,run,fold,score
pol,xgboost,IsolationForest,remove,0,0,0.9860681114551083
pol,xgboost,IsolationForest,remove,0,1,0.9829721362229102
pol,xgboost,IsolationForest,remove,0,2,0.9736434108527132
pol,xgboost,IsolationForest,remove,0,3,0.9782945736434109
pol,xgboost,IsolationForest,remove,0,4,0.986046511627907
pol,xgboost,IsolationForest,remove,0,5,0.9829457364341085
pol,xgboost,IsolationForest,remove,0,6,0.9844961240310077
pol,xgboost,IsolationForest,remove,0,7,0.9922480620155039
pol,xgboost,IsolationForest,remove,0,8,0.9875968992248062
pol,xgboost,IsolationForest,remove,0,9,0.9829457364341085
pol,xgboost,IsolationForest,remove,1,0,0.9891640866873065
pol,xgboost,IsolationForest,remove,1,1,0.9860681114551083
pol,xgboost,IsolationForest,remove,1,2,0.9922480620155039
pol,xgboost,IsolationForest,remove,1,3,0.9751937984496124
pol,xgboost,IsolationForest,remove,1,4,0.9767441860465116
pol,xgboost,IsolationForest,remove,1,5,0.9798449612403101
pol,xgboost,IsolationForest,remove,1,6,0.9891472868217054
pol,xgboost,IsolationForest,remove,1,7,0.9829457364341085
pol,xgboost,IsolationForest,remove,1,8,0.9844961240310077
pol,xgboost,IsolationForest,remove,1,9,0.9782945736434109
pol,xgboost,IsolationForest,remove,2,0,0.9814241486068112
pol,xgboost,IsolationForest,remove,2,1,0.9907120743034056
pol,xgboost,IsolationForest,remove,2,2,0.9844961240310077
pol,xgboost,IsolationForest,remove,2,3,0.9798449612403101
pol,xgboost,IsolationForest,remove,2,4,0.9767441860465116
pol,xgboost,IsolationForest,remove,2,5,0.986046511627907
pol,xgboost,IsolationForest,remove,2,6,0.9782945736434109
pol,xgboost,IsolationForest,remove,2,7,0.9844961240310077
pol,xgboost,IsolationForest,remove,2,8,0.9813953488372092
pol,xgboost,IsolationForest,remove,2,9,0.9891472868217054
