dataset,model,detector,treatment,run,fold,score
credit-g,xgboost,Percentile,clip,0,0,0.6875
credit-g,xgboost,Percentile,clip,0,1,0.65625
credit-g,xgboost,Percentile,clip,0,2,0.671875
credit-g,xgboost,Percentile,clip,0,3,0.640625
credit-g,xgboost,Percentile,clip,0,4,0.703125
credit-g,xgboost,Percentile,clip,0,5,0.640625
credit-g,xgboost,Percentile,clip,0,6,0.71875
credit-g,xgboost,Percentile,clip,0,7,0.75
credit-g,xgboost,Percentile,clip,0,8,0.640625
credit-g,xgboost,Percentile,clip,0,9,0.609375
credit-g,xgboost,Percentile,clip,1,0,0.703125
credit-g,xgboost,Percentile,clip,1,1,0.625
credit-g,xgboost,Percentile,clip,1,2,0.640625
credit-g,xgboost,Percentile,clip,1,3,0.703125
credit-g,xgboost,Percentile,clip,1,4,0.65625
credit-g,xgboost,Percentile,clip,1,5,0.796875
credit-g,xgboost,Percentile,clip,1,6,0.71875
credit-g,xgboost,Percentile,clip,1,7,0.71875
credit-g,xgboost,Percentile,clip,1,8,0.625
credit-g,xgboost,Percentile,clip,1,9,0.5625
credit-g,xgboost,Percentile,clip,2,0,0.671875
credit-g,xgboost,Percentile,clip,2,1,0.640625
credit-g,xgboost,Percentile,clip,2,2,0.640625
credit-g,xgboost,Percentile,clip,2,3,0.734375
credit-g,xgboost,Percentile,clip,2,4,0.671875
credit-g,xgboost,Percentile,clip,2,5,0.625
credit-g,xgboost,Percentile,clip,2,6,0.765625
credit-g,xgboost,Percentile,clip,2,7,0.65625
credit-g,xgboost,Percentile,clip,2,8,0.734375
credit-g,xgboost,Percentile,clip,2,9,0.546875
