dataset,model,detector,treatment,run,fold,score
splice,mlp,IsolationForest,remove,0,0,0.8634146341463415
splice,mlp,IsolationForest,remove,0,1,0.8725490196078431
splice,mlp,IsolationForest,remove,0,2,0.8627450980392157
splice,mlp,IsolationForest,remove,0,3,0.8627450980392157
splice,mlp,IsolationForest,remove,0,4,0.8921568627450981
splice,mlp,IsolationForest,remove,0,5,0.8382352941176471
splice,mlp,IsolationForest,remove,0,6,0.8725490196078431
splice,mlp,IsolationForest,remove,0,7,0.8676470588235294
splice,mlp,IsolationForest,remove,0,8,0.8823529411764706
splice,mlp,IsolationForest,remove,0,9,0.8725490196078431
splice,mlp,IsolationForest,remove,1,0,0.8292682926829268
splice,mlp,IsolationForest,remove,1,1,0.8284313725490197
splice,mlp,IsolationForest,remove,1,2,0.8725490196078431
splice,mlp,IsolationForest,remove,1,3,0.8725490196078431
splice,mlp,IsolationForest,remove,1,4,0.8529411764705882
splice,mlp,IsolationForest,remove,1,5,0.8627450980392157
splice,mlp,IsolationForest,remove,1,6,0.8578431372549019
splice,mlp,IsolationForest,remove,1,7,0.8480392156862745
splice,mlp,IsolationForest,remove,1,8,0.8970588235294118
splice,mlp,IsolationForest,remove,1,9,0.8235294117647058
splice,mlp,IsolationForest,remove,2,0,0.8536585365853658
splice,mlp,IsolationForest,remove,2,1,0.8676470588235294
splice,mlp,IsolationForest,remove,2,2,0.8284313725490197
splice,mlp,IsolationForest,remove,2,3,0.8578431372549019
splice,mlp,IsolationForest,remove,2,4,0.8578431372549019
splice,mlp,IsolationForest,remove,2,5,0.8872549019607843
splice,mlp,IsolationForest,remove,2,6,0.8676470588235294
splice,mlp,IsolationForest,remove,2,7,0.9019607843137255
splice,mlp,IsolationForest,remove,2,8,0.8627450980392157
splice,mlp,IsolationForest,remove,2,9,0.8480392156862745
