dataset,model,detector,treatment,run,fold,score
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,0,0,0.8015625
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,0,1,0.853125
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,0,2,0.853125
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,0,3,0.8171875
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,0,4,0.8359375
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,0,5,0.8265625
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,0,6,0.809375
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,0,7,0.8390625
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,0,8,0.834375
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,0,9,0.8296875
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,1,0,0.8265625
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,1,1,0.8328125
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,1,2,0.8109375
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,1,3,0.840625
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,1,4,0.865625
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,1,5,0.80625
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,1,6,0.8265625
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,1,7,0.8015625
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,1,8,0.8234375
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,1,9,0.846875
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,2,0,0.8140625
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,2,1,0.834375
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,2,2,0.83125
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,2,3,0.8421875
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,2,4,0.8140625
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,2,5,0.80625
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,2,6,0.834375
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,2,7,0.803125
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,2,8,0.809375
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,2,9,0.8515625
