dataset,model,detector,treatment,run,fold,score
vehicle,mlp,Percentile,remove,0,0,0.7777777777777778
vehicle,mlp,Percentile,remove,0,1,0.7592592592592593
vehicle,mlp,Percentile,remove,0,2,0.6666666666666666
vehicle,mlp,Percentile,remove,0,3,0.8148148148148148
vehicle,mlp,Percentile,remove,0,4,0.8148148148148148
vehicle,mlp,Percentile,remove,0,5,0.7222222222222222
vehicle,mlp,Percentile,remove,0,6,0.7037037037037037
vehicle,mlp,Percentile,remove,0,7,0.8518518518518519
vehicle,mlp,Percentile,remove,0,8,0.7222222222222222
vehicle,mlp,Percentile,remove,0,9,0.7777777777777778
vehicle,mlp,Percentile,remove,1,0,0.8703703703703703
vehicle,mlp,Percentile,remove,1,1,0.6666666666666666
vehicle,mlp,Percentile,remove,1,2,0.7592592592592593
vehicle,mlp,Percentile,remove,1,3,0.6296296296296297
vehicle,mlp,Percentile,remove,1,4,0.8148148148148148
vehicle,mlp,Percentile,remove,1,5,0.6851851851851852
vehicle,mlp,Percentile,remove,1,6,0.8148148148148148
vehicle,mlp,Percentile,remove,1,7,0.7037037037037037
vehicle,mlp,Percentile,remove,1,8,0.6666666666666666
vehicle,mlp,Percentile,remove,1,9,0.8518518518518519
vehicle,mlp,Percentile,remove,2,0,0.7222222222222222
vehicle,mlp,Percentile,remove,2,1,0.7037037037037037
vehicle,mlp,Percentile,remove,2,2,0.8333333333333334
vehicle,mlp,Percentile,remove,2,3,0.7592592592592593
vehicle,mlp,Percentile,remove,2,4,0.6851851851851852
vehicle,mlp,Percentile,remove,2,5,0.7592592592592593
vehicle,mlp,Percentile,remove,2,6,0.7407407407407407
vehicle,mlp,Percentile,remove,2,7,0.6296296296296297
vehicle,mlp,Percentile,remove,2,8,0.7407407407407407
vehicle,mlp,Percentile,remove,2,9,0.7592592592592593
