dataset,model,detector,treatment,run,fold,score
phoneme,mlp_deep,Percentile,clip,0,0,0.8757225433526011
phoneme,mlp_deep,Percentile,clip,0,1,0.8757225433526011
phoneme,mlp_deep,Percentile,clip,0,2,0.8583815028901735
phoneme,mlp_deep,Percentile,clip,0,3,0.8526011560693642
phoneme,mlp_deep,Percentile,clip,0,4,0.861271676300578
phoneme,mlp_deep,Percentile,clip,0,5,0.8641618497109826
phoneme,mlp_deep,Percentile,clip,0,6,0.8554913294797688
phoneme,mlp_deep,Percentile,clip,0,7,0.846820809248555
phoneme,mlp_deep,Percentile,clip,0,8,0.8376811594202899
phoneme,mlp_deep,Percentile,clip,0,9,0.8521739130434782
phoneme,mlp_deep,Percentile,clip,1,0,0.8236994219653179
phoneme,mlp_deep,Percentile,clip,1,1,0.8815028901734104
phoneme,mlp_deep,Percentile,clip,1,2,0.8786127167630058
phoneme,mlp_deep,Percentile,clip,1,3,0.861271676300578
phoneme,mlp_deep,Percentile,clip,1,4,0.8554913294797688
phoneme,mlp_deep,Percentile,clip,1,5,0.8439306358381503
phoneme,mlp_deep,Percentile,clip,1,6,0.8323699421965318
phoneme,mlp_deep,Percentile,clip,1,7,0.8757225433526011
phoneme,mlp_deep,Percentile,clip,1,8,0.808695652173913
phoneme,mlp_deep,Percentile,clip,1,9,0.8753623188405797
phoneme,mlp_deep,Percentile,clip,2,0,0.861271676300578
phoneme,mlp_deep,Percentile,clip,2,1,0.8757225433526011
phoneme,mlp_deep,Percentile,clip,2,2,0.8497109826589595
phoneme,mlp_deep,Percentile,clip,2,3,0.846820809248555
phoneme,mlp_deep,Percentile,clip,2,4,0.8786127167630058
phoneme,mlp_deep,Percentile,clip,2,5,0.8265895953757225
phoneme,mlp_deep,Percentile,clip,2,6,0.8583815028901735
phoneme,mlp_deep,Percentile,clip,2,7,0.8641618497109826
phoneme,mlp_deep,Percentile,clip,2,8,0.8463768115942029
phoneme,mlp_deep,Percentile,clip,2,9,0.8260869565217391
