dataset,model,detector,treatment,run,fold,score
cmc,randomforest,None,remove,0,0,0.45263157894736844
cmc,randomforest,None,remove,0,1,0.5578947368421052
cmc,randomforest,None,remove,0,2,0.5106382978723404
cmc,randomforest,None,remove,0,3,0.48936170212765956
cmc,randomforest,None,remove,0,4,0.5319148936170213
cmc,randomforest,None,remove,0,5,0.5638297872340425
cmc,randomforest,None,remove,0,6,0.5319148936170213
cmc,randomforest,None,remove,0,7,0.5425531914893617
cmc,randomforest,None,remove,0,8,0.5319148936170213
cmc,randomforest,None,remove,0,9,0.574468085106383
cmc,randomforest,None,remove,1,0,0.49473684210526314
cmc,randomforest,None,remove,1,1,0.5263157894736842
cmc,randomforest,None,remove,1,2,0.5851063829787234
cmc,randomforest,None,remove,1,3,0.4787234042553192
cmc,randomforest,None,remove,1,4,0.5638297872340425
cmc,randomforest,None,remove,1,5,0.5
cmc,randomforest,None,remove,1,6,0.5
cmc,randomforest,None,remove,1,7,0.5319148936170213
cmc,randomforest,None,remove,1,8,0.5425531914893617
cmc,randomforest,None,remove,1,9,0.43617021276595747
cmc,randomforest,None,remove,2,0,0.4842105263157895
cmc,randomforest,None,remove,2,1,0.5578947368421052
cmc,randomforest,None,remove,2,2,0.5638297872340425
cmc,randomforest,None,remove,2,3,0.5
cmc,randomforest,None,remove,2,4,0.425531914893617
cmc,randomforest,None,remove,2,5,0.5531914893617021
cmc,randomforest,None,remove,2,6,0.5851063829787234
cmc,randomforest,None,remove,2,7,0.4574468085106383
cmc,randomforest,None,remove,2,8,0.5106382978723404
cmc,randomforest,None,remove,2,9,0.5106382978723404
