dataset,model,detector,treatment,run,fold,score
pol,randomforest,LOF,remove,0,0,0.9705882352941176
pol,randomforest,LOF,remove,0,1,0.9705882352941176
pol,randomforest,LOF,remove,0,2,0.9674418604651163
pol,randomforest,LOF,remove,0,3,0.9720930232558139
pol,randomforest,LOF,remove,0,4,0.9891472868217054
pol,randomforest,LOF,remove,0,5,0.9767441860465116
pol,randomforest,LOF,remove,0,6,0.9829457364341085
pol,randomforest,LOF,remove,0,7,0.986046511627907
pol,randomforest,LOF,remove,0,8,0.9829457364341085
pol,randomforest,LOF,remove,0,9,0.986046511627907
pol,randomforest,LOF,remove,1,0,0.9767801857585139
pol,randomforest,LOF,remove,1,1,0.9845201238390093
pol,randomforest,LOF,remove,1,2,0.9751937984496124
pol,randomforest,LOF,remove,1,3,0.9767441860465116
pol,randomforest,LOF,remove,1,4,0.9844961240310077
pol,randomforest,LOF,remove,1,5,0.9674418604651163
pol,randomforest,LOF,remove,1,6,0.986046511627907
pol,randomforest,LOF,remove,1,7,0.9798449612403101
pol,randomforest,LOF,remove,1,8,0.9705426356589147
pol,randomforest,LOF,remove,1,9,0.9736434108527132
pol,randomforest,LOF,remove,2,0,0.9752321981424149
pol,randomforest,LOF,remove,2,1,0.9798761609907121
pol,randomforest,LOF,remove,2,2,0.9736434108527132
pol,randomforest,LOF,remove,2,3,0.9829457364341085
pol,randomforest,LOF,remove,2,4,0.9767441860465116
pol,randomforest,LOF,remove,2,5,0.9813953488372092
pol,randomforest,LOF,remove,2,6,0.9720930232558139
pol,randomforest,LOF,remove,2,7,0.9767441860465116
pol,randomforest,LOF,remove,2,8,0.9782945736434109
pol,randomforest,LOF,remove,2,9,0.9782945736434109
