dataset,model,detector,treatment,run,fold,score
cmc,mlp_deep,LOF,remove,0,0,0.5368421052631579
cmc,mlp_deep,LOF,remove,0,1,0.5157894736842106
cmc,mlp_deep,LOF,remove,0,2,0.5212765957446809
cmc,mlp_deep,LOF,remove,0,3,0.5
cmc,mlp_deep,LOF,remove,0,4,0.5531914893617021
cmc,mlp_deep,LOF,remove,0,5,0.648936170212766
cmc,mlp_deep,LOF,remove,0,6,0.5319148936170213
cmc,mlp_deep,LOF,remove,0,7,0.6382978723404256
cmc,mlp_deep,LOF,remove,0,8,0.5
cmc,mlp_deep,LOF,remove,0,9,0.5638297872340425
cmc,mlp_deep,LOF,remove,1,0,0.5684210526315789
cmc,mlp_deep,LOF,remove,1,1,0.5157894736842106
cmc,mlp_deep,LOF,remove,1,2,0.5638297872340425
cmc,mlp_deep,LOF,remove,1,3,0.5638297872340425
cmc,mlp_deep,LOF,remove,1,4,0.5851063829787234
cmc,mlp_deep,LOF,remove,1,5,0.5531914893617021
cmc,mlp_deep,LOF,remove,1,6,0.5
cmc,mlp_deep,LOF,remove,1,7,0.6170212765957447
cmc,mlp_deep,LOF,remove,1,8,0.4574468085106383
cmc,mlp_deep,LOF,remove,1,9,0.4574468085106383
cmc,mlp_deep,LOF,remove,2,0,0.5684210526315789
cmc,mlp_deep,LOF,remove,2,1,0.5052631578947369
cmc,mlp_deep,LOF,remove,2,2,0.574468085106383
cmc,mlp_deep,LOF,remove,2,3,0.4787234042553192
cmc,mlp_deep,LOF,remove,2,4,0.5
cmc,mlp_deep,LOF,remove,2,5,0.5851063829787234
cmc,mlp_deep,LOF,remove,2,6,0.5319148936170213
cmc,mlp_deep,LOF,remove,2,7,0.5319148936170213
cmc,mlp_deep,LOF,remove,2,8,0.5531914893617021
cmc,mlp_deep,LOF,remove,2,9,0.6276595744680851
